umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,5,0.1,15,7,0.1,4,75,28.735632183908045,0.03731871023774147,0.27256605230783404,0.08668389222821363,0.4871529630909787
2,15,0.1,8,1,0.3,4,9,3.4482758620689653,0.12438143789768219,0.1122315689878939,0.16184227369278525,0.486653291555672
2,15,0.1,8,1,0.1,4,9,3.4482758620689653,0.12438143789768219,0.1122315689878939,0.16184227369278525,0.486653291555672
2,15,0.1,8,1,0.05,4,9,3.4482758620689653,0.12438143789768219,0.1122315689878939,0.16184227369278525,0.486653291555672
2,15,0.1,8,1,0.0,4,9,3.4482758620689653,0.12438143789768219,0.1122315689878939,0.16184227369278525,0.486653291555672
2,15,0.1,8,1,0.2,4,9,3.4482758620689653,0.12438143789768219,0.1122315689878939,0.16184227369278525,0.486653291555672
2,15,0.0,12,3,0.3,6,59,22.60536398467433,0.08706687390804291,0.3190339043103616,0.1287890491193591,0.48546286484100243
2,5,0.0,15,5,0.2,4,34,13.026819923371647,0.04573870077729225,0.17889733944630032,0.07560409813896611,0.4823661010483707
2,5,0.0,15,5,0.1,4,34,13.026819923371647,0.04573870077729225,0.17889733944630032,0.07560409813896611,0.4823661010483707
2,5,0.0,15,5,0.05,4,34,13.026819923371647,0.04573870077729225,0.17889733944630032,0.07560409813896611,0.4823661010483707
2,5,0.0,15,5,0.0,4,34,13.026819923371647,0.04573870077729225,0.17889733944630032,0.07560409813896611,0.4823661010483707
2,5,0.0,15,5,0.3,4,34,13.026819923371647,0.04573870077729225,0.17889733944630032,0.07560409813896611,0.4823661010483707
2,30,0.0,12,1,0.3,4,19,7.2796934865900385,-0.02014651894569397,0.1728954319727465,0.15166395541318792,0.4815768079740645
2,10,0.05,5,5,0.2,3,9,3.4482758620689653,0.132804274559021,0.04237734080891896,0.1818207322546939,0.47997502578328277
2,10,0.05,5,5,0.1,3,9,3.4482758620689653,0.132804274559021,0.04237734080891896,0.1818207322546939,0.47997502578328277
2,10,0.05,5,5,0.3,3,9,3.4482758620689653,0.132804274559021,0.04237734080891896,0.1818207322546939,0.47997502578328277
2,10,0.05,5,5,0.05,3,9,3.4482758620689653,0.132804274559021,0.04237734080891896,0.1818207322546939,0.47997502578328277
2,10,0.05,5,5,0.0,3,9,3.4482758620689653,0.132804274559021,0.04237734080891896,0.1818207322546939,0.47997502578328277
2,15,0.0,25,1,0.1,3,96,36.7816091954023,0.09188862144947052,0.22403719531488395,0.08557626318805489,0.4798349529525696
2,15,0.0,25,1,0.05,3,96,36.7816091954023,0.09188862144947052,0.22403719531488395,0.08557626318805489,0.4798349529525696
2,15,0.0,25,1,0.2,3,96,36.7816091954023,0.09188862144947052,0.22403719531488395,0.08557626318805489,0.4798349529525696
2,15,0.0,25,1,0.0,3,96,36.7816091954023,0.09188862144947052,0.22403719531488395,0.08557626318805489,0.4798349529525696
2,30,0.05,12,1,0.1,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14324601982578083,0.4786841305563075
2,30,0.05,15,1,0.2,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.1404965326242354,0.4786841305563075
2,30,0.05,15,1,0.1,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.1404965326242354,0.4786841305563075
2,30,0.05,15,1,0.3,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.1404965326242354,0.4786841305563075
2,30,0.05,12,1,0.2,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14324601982578083,0.4786841305563075
2,30,0.05,12,1,0.3,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14324601982578083,0.4786841305563075
2,30,0.05,12,1,0.05,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14324601982578083,0.4786841305563075
2,30,0.05,12,1,0.0,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14324601982578083,0.4786841305563075
2,30,0.05,15,1,0.0,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.1404965326242354,0.4786841305563075
2,30,0.05,15,1,0.05,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.1404965326242354,0.4786841305563075
2,30,0.05,20,1,0.2,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14666264137632778,0.4786841305563075
2,30,0.05,20,1,0.05,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14666264137632778,0.4786841305563075
2,30,0.05,20,1,0.0,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14666264137632778,0.4786841305563075
2,30,0.05,20,1,0.1,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14666264137632778,0.4786841305563075
2,30,0.05,20,1,0.3,2,1,0.38314176245210724,0.15900908410549164,0.0639976286634698,0.14666264137632778,0.4786841305563075
2,5,0.2,25,1,0.3,3,4,1.532567049808429,0.06545668095350266,0.054770966290092205,0.12086478045410225,0.4786617545594454
2,5,0.2,25,1,0.1,3,4,1.532567049808429,0.06545668095350266,0.054770966290092205,0.12086478045410225,0.4786617545594454
2,5,0.2,25,1,0.2,3,4,1.532567049808429,0.06545668095350266,0.054770966290092205,0.12086478045410225,0.4786617545594454
2,5,0.2,25,1,0.05,3,4,1.532567049808429,0.06545668095350266,0.054770966290092205,0.12086478045410225,0.4786617545594454
2,5,0.2,25,1,0.0,3,4,1.532567049808429,0.06545668095350266,0.054770966290092205,0.12086478045410225,0.4786617545594454
2,30,0.0,15,1,0.1,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.15923023379949,0.4761341378807812
2,30,0.0,20,1,0.1,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.1297367519224795,0.4761341378807812
2,30,0.0,20,1,0.2,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.1297367519224795,0.4761341378807812
2,30,0.0,15,1,0.0,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.15923023379949,0.4761341378807812
2,30,0.0,15,1,0.2,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.15923023379949,0.4761341378807812
2,30,0.0,15,1,0.3,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.15923023379949,0.4761341378807812
2,30,0.0,20,1,0.0,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.1297367519224795,0.4761341378807812
2,30,0.0,20,1,0.3,3,7,2.681992337164751,0.11908834427595139,0.03408717728429501,0.1297367519224795,0.4761341378807812
